timeStamp,ECGValue,ClassType
0:29:42.293,495,BaseLine
0:29:42.297,495,BaseLine
0:29:42.301,495,BaseLine
0:29:42.305,495,BaseLine
0:29:42.309,495,BaseLine
0:29:42.313,495,BaseLine
0:29:42.317,495,BaseLine
0:29:42.321,495,BaseLine
0:29:42.325,494,BaseLine
0:29:42.329,494,BaseLine
0:29:42.333,494,BaseLine
0:29:42.337,493,BaseLine
0:29:42.341,493,BaseLine
0:29:42.345,493,BaseLine
0:29:42.349,493,BaseLine
0:29:42.353,493,BaseLine
0:29:42.357,493,BaseLine
0:29:42.361,493,BaseLine
0:29:42.365,493,BaseLine
0:29:42.369,493,BaseLine
0:29:42.373,493,BaseLine
0:29:42.377,493,BaseLine
0:29:42.381,493,BaseLine
0:29:42.385,493,BaseLine
0:29:42.389,493,BaseLine
0:29:42.393,493,BaseLine
0:29:42.397,493,BaseLine
0:29:42.401,493,BaseLine
0:29:42.405,493,BaseLine
0:29:42.409,493,BaseLine
0:29:42.413,493,BaseLine
0:29:42.417,493,BaseLine
0:29:42.421,493,BaseLine
0:29:42.425,494,BaseLine
0:29:42.429,494,BaseLine
0:29:42.433,494,BaseLine
0:29:42.437,494,BaseLine
0:29:42.441,494,BaseLine
0:29:42.445,494,BaseLine
0:29:42.449,495,BaseLine
0:29:42.453,495,BaseLine
0:29:42.457,495,BaseLine
0:29:42.461,495,BaseLine
0:29:42.465,495,BaseLine
0:29:42.469,495,BaseLine
0:29:42.473,494,BaseLine
0:29:42.477,494,BaseLine
0:29:42.481,494,BaseLine
0:29:42.485,493,BaseLine
0:29:42.489,493,BaseLine
0:29:42.493,492,BaseLine
0:29:42.497,492,BaseLine
0:29:42.501,492,BaseLine
0:29:42.505,493,BaseLine
0:29:42.509,493,BaseLine
0:29:42.513,493,BaseLine
0:29:42.517,493,BaseLine
0:29:42.521,494,BaseLine
0:29:42.525,493,BaseLine
0:29:42.529,493,BaseLine
0:29:42.533,492,BaseLine
0:29:42.537,493,BaseLine
0:29:42.541,497,BaseLine
0:29:42.545,503,BaseLine
0:29:42.549,511,BaseLine
0:29:42.553,517,BaseLine
0:29:42.557,517,BaseLine
0:29:42.561,512,BaseLine
0:29:42.565,502,BaseLine
0:29:42.569,492,BaseLine
0:29:42.573,483,BaseLine
0:29:42.577,479,BaseLine
0:29:42.581,478,BaseLine
0:29:42.585,480,BaseLine
0:29:42.589,483,BaseLine
0:29:42.593,487,BaseLine
0:29:42.597,490,BaseLine
0:29:42.601,493,BaseLine
0:29:42.605,495,BaseLine
0:29:42.609,496,BaseLine
0:29:42.613,496,BaseLine
0:29:42.617,495,BaseLine
0:29:42.621,495,BaseLine
0:29:42.625,495,BaseLine
0:29:42.629,495,BaseLine
0:29:42.633,495,BaseLine
0:29:42.637,495,BaseLine
0:29:42.641,495,BaseLine
0:29:42.645,495,BaseLine
0:29:42.649,496,BaseLine
0:29:42.653,496,BaseLine
0:29:42.657,496,BaseLine
0:29:42.661,497,BaseLine
0:29:42.665,497,BaseLine
0:29:42.669,497,BaseLine
0:29:42.673,497,BaseLine
0:29:42.677,497,BaseLine
0:29:42.681,497,BaseLine
0:29:42.685,497,BaseLine
0:29:42.689,498,BaseLine
0:29:42.693,498,BaseLine
0:29:42.697,498,BaseLine
0:29:42.701,498,BaseLine
0:29:42.705,499,BaseLine
0:29:42.709,499,BaseLine
0:29:42.713,500,BaseLine
0:29:42.717,500,BaseLine
0:29:42.721,501,BaseLine
0:29:42.725,501,BaseLine
0:29:42.729,502,BaseLine
0:29:42.733,502,BaseLine
0:29:42.737,503,BaseLine
0:29:42.741,504,BaseLine
0:29:42.745,506,BaseLine
0:29:42.749,507,BaseLine
0:29:42.753,508,BaseLine
0:29:42.757,510,BaseLine
0:29:42.761,511,BaseLine
0:29:42.765,511,BaseLine
0:29:42.769,512,BaseLine
0:29:42.773,512,BaseLine
0:29:42.777,512,BaseLine
0:29:42.781,512,BaseLine
0:29:42.785,512,BaseLine
0:29:42.789,512,BaseLine
0:29:42.793,511,BaseLine
0:29:42.797,510,BaseLine
0:29:42.801,509,BaseLine
0:29:42.805,508,BaseLine
0:29:42.809,506,BaseLine
0:29:42.813,505,BaseLine
0:29:42.817,503,BaseLine
0:29:42.821,501,BaseLine
0:29:42.825,500,BaseLine
0:29:42.829,498,BaseLine
0:29:42.833,497,BaseLine
0:29:42.837,496,BaseLine
0:29:42.841,495,BaseLine
0:29:42.845,493,BaseLine
0:29:42.849,492,BaseLine
0:29:42.853,491,BaseLine
0:29:42.857,490,BaseLine
0:29:42.861,490,BaseLine
0:29:42.865,489,BaseLine
0:29:42.869,489,BaseLine
0:29:42.873,488,BaseLine
0:29:42.877,488,BaseLine
0:29:42.881,488,BaseLine
0:29:42.885,487,BaseLine
0:29:42.889,487,BaseLine
0:29:42.893,486,BaseLine
0:29:42.897,486,BaseLine
0:29:42.901,485,BaseLine
0:29:42.905,485,BaseLine
0:29:42.909,485,BaseLine
0:29:42.913,485,BaseLine
0:29:42.917,485,BaseLine
0:29:42.921,484,BaseLine
0:29:42.925,484,BaseLine
0:29:42.929,484,BaseLine
0:29:42.933,483,BaseLine
0:29:42.937,483,BaseLine
0:29:42.941,484,BaseLine
0:29:42.945,484,BaseLine
0:29:42.949,484,BaseLine
0:29:42.953,484,BaseLine
0:29:42.957,484,BaseLine
0:29:42.961,483,BaseLine
0:29:42.965,483,BaseLine
0:29:42.969,482,BaseLine
0:29:42.973,482,BaseLine
0:29:42.977,482,BaseLine
0:29:42.981,482,BaseLine
0:29:42.985,482,BaseLine
0:29:42.989,482,BaseLine
0:29:42.993,482,BaseLine
0:29:42.997,482,BaseLine
0:29:43.001,482,BaseLine
0:29:43.005,482,BaseLine
0:29:43.009,482,BaseLine
0:29:43.013,481,BaseLine
0:29:43.017,481,BaseLine
0:29:43.021,481,BaseLine
0:29:43.025,480,BaseLine
0:29:43.029,480,BaseLine
0:29:43.033,480,BaseLine
0:29:43.037,481,BaseLine
0:29:43.041,481,BaseLine
0:29:43.042,482,BaseLine
0:29:43.045,482,BaseLine
0:29:43.046,483,BaseLine
0:29:43.050,483,BaseLine
0:29:43.054,483,BaseLine
0:29:43.058,483,BaseLine
0:29:43.062,483,BaseLine
0:29:43.066,483,BaseLine
0:29:43.070,483,BaseLine
0:29:43.074,483,BaseLine
0:29:43.078,483,BaseLine
0:29:43.082,483,BaseLine
0:29:43.086,483,BaseLine
0:29:43.090,483,BaseLine
0:29:43.094,483,BaseLine
0:29:43.098,483,BaseLine
0:29:43.102,484,BaseLine
0:29:43.106,484,BaseLine
0:29:43.110,484,BaseLine
0:29:43.114,484,BaseLine
0:29:43.118,484,BaseLine
0:29:43.122,484,BaseLine
0:29:43.126,484,BaseLine
0:29:43.130,484,BaseLine
0:29:43.134,484,BaseLine
0:29:43.138,484,BaseLine
0:29:43.142,484,BaseLine
0:29:43.146,484,BaseLine
0:29:43.146,492,BaseLine
0:29:43.150,484,BaseLine
0:29:43.150,492,BaseLine
0:29:43.154,484,BaseLine
0:29:43.154,492,BaseLine
0:29:43.158,484,BaseLine
0:29:43.158,492,BaseLine
0:29:43.162,484,BaseLine
0:29:43.162,492,BaseLine
0:29:43.166,484,BaseLine
0:29:43.166,492,BaseLine
0:29:43.170,485,BaseLine
0:29:43.170,492,BaseLine
0:29:43.174,485,BaseLine
0:29:43.174,493,BaseLine
0:29:43.178,485,BaseLine
0:29:43.178,493,BaseLine
0:29:43.182,485,BaseLine
0:29:43.182,492,BaseLine
0:29:43.186,485,BaseLine
0:29:43.186,492,BaseLine
0:29:43.190,485,BaseLine
0:29:43.190,492,BaseLine
0:29:43.194,485,BaseLine
0:29:43.194,492,BaseLine
0:29:43.198,485,BaseLine
0:29:43.198,492,BaseLine
0:29:43.202,484,BaseLine
0:29:43.202,492,BaseLine
0:29:43.206,484,BaseLine
0:29:43.206,493,BaseLine
0:29:43.210,483,BaseLine
0:29:43.210,493,BaseLine
0:29:43.214,483,BaseLine
0:29:43.214,493,BaseLine
0:29:43.218,483,BaseLine
0:29:43.218,493,BaseLine
0:29:43.222,483,BaseLine
0:29:43.222,494,BaseLine
0:29:43.226,483,BaseLine
0:29:43.226,494,BaseLine
0:29:43.230,483,BaseLine
0:29:43.230,494,BaseLine
0:29:43.234,483,BaseLine
0:29:43.234,494,BaseLine
0:29:43.238,483,BaseLine
0:29:43.238,494,BaseLine
0:29:43.242,483,BaseLine
0:29:43.242,494,BaseLine
0:29:43.246,483,BaseLine
0:29:43.246,494,BaseLine
0:29:43.250,483,BaseLine
0:29:43.250,494,BaseLine
0:29:43.254,483,BaseLine
0:29:43.254,494,BaseLine
0:29:43.258,482,BaseLine
0:29:43.258,494,BaseLine
0:29:43.262,482,BaseLine
0:29:43.262,493,BaseLine
0:29:43.266,484,BaseLine
0:29:43.266,493,BaseLine
0:29:43.270,489,BaseLine
0:29:43.270,493,BaseLine
0:29:43.274,496,BaseLine
0:29:43.274,493,BaseLine
0:29:43.278,503,BaseLine
0:29:43.278,493,BaseLine
0:29:43.282,507,BaseLine
0:29:43.282,493,BaseLine
0:29:43.286,505,BaseLine
0:29:43.286,493,BaseLine
0:29:43.290,499,BaseLine
0:29:43.290,493,BaseLine
0:29:43.294,489,BaseLine
0:29:43.294,493,BaseLine
0:29:43.298,479,BaseLine
0:29:43.298,494,BaseLine
0:29:43.302,472,BaseLine
0:29:43.302,493,BaseLine
0:29:43.306,469,BaseLine
0:29:43.306,493,BaseLine
0:29:43.310,469,BaseLine
0:29:43.310,492,BaseLine
0:29:43.314,472,BaseLine
0:29:43.314,492,BaseLine
0:29:43.318,475,BaseLine
0:29:43.318,495,BaseLine
0:29:43.322,479,BaseLine
0:29:43.322,500,BaseLine
0:29:43.326,483,BaseLine
0:29:43.326,507,BaseLine
0:29:43.330,485,BaseLine
0:29:43.330,514,BaseLine
0:29:43.334,487,BaseLine
0:29:43.334,517,BaseLine
0:29:43.338,488,BaseLine
0:29:43.338,515,BaseLine
0:29:43.342,488,BaseLine
0:29:43.342,508,BaseLine
0:29:43.346,488,BaseLine
0:29:43.346,498,BaseLine
0:29:43.350,488,BaseLine
0:29:43.350,489,BaseLine
0:29:43.354,488,BaseLine
0:29:43.354,483,BaseLine
0:29:43.358,488,BaseLine
0:29:43.358,480,BaseLine
0:29:43.362,489,BaseLine
0:29:43.362,480,BaseLine
0:29:43.366,489,BaseLine
0:29:43.366,482,BaseLine
0:29:43.370,489,BaseLine
0:29:43.370,486,BaseLine
0:29:43.374,490,BaseLine
0:29:43.374,490,BaseLine
0:29:43.378,490,BaseLine
0:29:43.378,493,BaseLine
0:29:43.382,490,BaseLine
0:29:43.382,495,BaseLine
0:29:43.386,491,BaseLine
0:29:43.386,496,BaseLine
0:29:43.390,491,BaseLine
0:29:43.390,496,BaseLine
0:29:43.394,491,BaseLine
0:29:43.394,496,BaseLine
0:29:43.398,492,BaseLine
0:29:43.398,496,BaseLine
0:29:43.402,492,BaseLine
0:29:43.402,496,BaseLine
0:29:43.406,492,BaseLine
0:29:43.406,496,BaseLine
0:29:43.410,492,BaseLine
0:29:43.410,496,BaseLine
0:29:43.414,492,BaseLine
0:29:43.414,496,BaseLine
0:29:43.418,492,BaseLine
0:29:43.418,497,BaseLine
0:29:43.422,493,BaseLine
0:29:43.422,497,BaseLine
0:29:43.426,493,BaseLine
0:29:43.426,497,BaseLine
0:29:43.430,494,BaseLine
0:29:43.430,497,BaseLine
0:29:43.434,494,BaseLine
0:29:43.434,497,BaseLine
0:29:43.438,495,BaseLine
0:29:43.438,497,BaseLine
0:29:43.442,495,BaseLine
0:29:43.442,498,BaseLine
0:29:43.446,496,BaseLine
0:29:43.446,498,BaseLine
0:29:43.450,497,BaseLine
0:29:43.450,498,BaseLine
0:29:43.454,497,BaseLine
0:29:43.454,498,BaseLine
0:29:43.458,498,BaseLine
0:29:43.458,498,BaseLine
0:29:43.462,499,BaseLine
0:29:43.462,498,BaseLine
0:29:43.466,501,BaseLine
0:29:43.466,499,BaseLine
0:29:43.470,502,BaseLine
0:29:43.470,499,BaseLine
0:29:43.474,503,BaseLine
0:29:43.474,499,BaseLine
0:29:43.478,504,BaseLine
0:29:43.478,499,BaseLine
0:29:43.482,506,BaseLine
0:29:43.482,500,BaseLine
0:29:43.486,507,BaseLine
0:29:43.486,500,BaseLine
0:29:43.490,508,BaseLine
0:29:43.490,501,BaseLine
0:29:43.494,508,BaseLine
0:29:43.494,501,BaseLine
0:29:43.498,509,BaseLine
0:29:43.498,502,BaseLine
0:29:43.502,509,BaseLine
0:29:43.502,503,BaseLine
0:29:43.506,510,BaseLine
0:29:43.506,503,BaseLine
0:29:43.510,510,BaseLine
0:29:43.510,504,BaseLine
0:29:43.514,510,BaseLine
0:29:43.514,505,BaseLine
0:29:43.518,509,BaseLine
0:29:43.518,506,BaseLine
0:29:43.522,509,BaseLine
0:29:43.522,507,BaseLine
0:29:43.526,508,BaseLine
0:29:43.526,508,BaseLine
0:29:43.530,507,BaseLine
0:29:43.530,510,BaseLine
0:29:43.534,506,BaseLine
0:29:43.534,511,BaseLine
0:29:43.538,504,BaseLine
0:29:43.538,512,BaseLine
0:29:43.542,503,BaseLine
0:29:43.542,513,BaseLine
0:29:43.546,502,BaseLine
0:29:43.546,513,BaseLine
0:29:43.550,501,BaseLine
0:29:43.550,514,BaseLine
0:29:43.554,499,BaseLine
0:29:43.554,514,BaseLine
0:29:43.558,498,BaseLine
0:29:43.558,514,BaseLine
0:29:43.562,497,BaseLine
0:29:43.562,514,BaseLine
0:29:43.566,496,BaseLine
0:29:43.566,513,BaseLine
0:29:43.570,495,BaseLine
0:29:43.570,513,BaseLine
0:29:43.574,494,BaseLine
0:29:43.574,512,BaseLine
0:29:43.578,493,BaseLine
0:29:43.578,512,BaseLine
0:29:43.582,493,BaseLine
0:29:43.582,511,BaseLine
0:29:43.586,492,BaseLine
0:29:43.586,510,BaseLine
0:29:43.590,492,BaseLine
0:29:43.590,508,BaseLine
0:29:43.594,492,BaseLine
0:29:43.594,507,BaseLine
0:29:43.598,491,BaseLine
0:29:43.598,505,BaseLine
0:29:43.602,491,BaseLine
0:29:43.602,504,BaseLine
0:29:43.606,491,BaseLine
0:29:43.606,503,BaseLine
0:29:43.610,491,BaseLine
0:29:43.610,501,BaseLine
0:29:43.614,490,BaseLine
0:29:43.614,500,BaseLine
0:29:43.618,490,BaseLine
0:29:43.618,499,BaseLine
0:29:43.622,490,BaseLine
0:29:43.622,498,BaseLine
0:29:43.626,490,BaseLine
0:29:43.626,497,BaseLine
0:29:43.630,490,BaseLine
0:29:43.630,496,BaseLine
0:29:43.634,490,BaseLine
0:29:43.634,495,BaseLine
0:29:43.638,490,BaseLine
0:29:43.638,495,BaseLine
0:29:43.642,490,BaseLine
0:29:43.642,494,BaseLine
0:29:43.646,490,BaseLine
0:29:43.646,494,BaseLine
0:29:43.650,490,BaseLine
0:29:43.650,494,BaseLine
0:29:43.654,490,BaseLine
0:29:43.654,494,BaseLine
0:29:43.658,490,BaseLine
0:29:43.658,494,BaseLine
0:29:43.662,490,BaseLine
0:29:43.662,493,BaseLine
0:29:43.666,491,BaseLine
0:29:43.666,493,BaseLine
0:29:43.670,491,BaseLine
0:29:43.670,493,BaseLine
0:29:43.674,491,BaseLine
0:29:43.674,493,BaseLine
0:29:43.678,491,BaseLine
0:29:43.678,493,BaseLine
0:29:43.682,491,BaseLine
0:29:43.682,493,BaseLine
0:29:43.686,492,BaseLine
0:29:43.686,493,BaseLine
0:29:43.690,492,BaseLine
0:29:43.690,493,BaseLine
0:29:43.694,492,BaseLine
0:29:43.694,493,BaseLine
0:29:43.698,492,BaseLine
0:29:43.698,493,BaseLine
0:29:43.702,492,BaseLine
0:29:43.702,493,BaseLine
0:29:43.706,492,BaseLine
0:29:43.706,493,BaseLine
0:29:43.710,492,BaseLine
0:29:43.710,493,BaseLine
0:29:43.714,492,BaseLine
0:29:43.714,493,BaseLine
0:29:43.718,492,BaseLine
0:29:43.718,493,BaseLine
0:29:43.722,492,BaseLine
0:29:43.722,493,BaseLine
0:29:43.726,492,BaseLine
0:29:43.726,493,BaseLine
0:29:43.730,492,BaseLine
0:29:43.730,494,BaseLine
0:29:43.734,492,BaseLine
0:29:43.734,494,BaseLine
0:29:43.738,492,BaseLine
0:29:43.738,494,BaseLine
0:29:43.742,492,BaseLine
0:29:43.742,494,BaseLine
0:29:43.746,492,BaseLine
0:29:43.746,494,BaseLine
0:29:43.750,492,BaseLine
0:29:43.750,494,BaseLine
0:29:43.754,492,BaseLine
0:29:43.754,494,BaseLine
0:29:43.758,492,BaseLine
0:29:43.758,494,BaseLine
0:29:43.762,492,BaseLine
0:29:43.762,495,BaseLine
0:29:43.766,492,BaseLine
0:29:43.766,495,BaseLine
0:29:43.770,492,BaseLine
0:29:43.770,495,BaseLine
0:29:43.774,492,BaseLine
0:29:43.774,495,BaseLine
0:29:43.778,492,BaseLine
0:29:43.778,495,BaseLine
0:29:43.782,492,BaseLine
0:29:43.782,495,BaseLine
0:29:43.786,492,BaseLine
0:29:43.786,495,BaseLine
0:29:43.790,492,BaseLine
0:29:43.790,495,BaseLine
0:29:43.794,492,BaseLine
0:29:43.794,494,BaseLine
0:29:43.798,494,BaseLine
0:29:43.802,494,BaseLine
0:29:43.806,494,BaseLine
0:29:43.810,494,BaseLine
0:29:43.814,494,BaseLine
0:29:43.818,494,BaseLine
0:29:43.822,494,BaseLine
0:29:43.826,494,BaseLine
0:29:43.830,494,BaseLine
0:29:43.834,494,BaseLine
0:29:43.838,493,BaseLine
0:29:43.842,493,BaseLine
0:29:43.846,493,BaseLine
0:29:43.850,493,BaseLine
0:29:43.854,493,BaseLine
0:29:43.858,493,BaseLine
0:29:43.862,493,BaseLine
0:29:43.866,493,BaseLine
0:29:43.870,493,BaseLine
0:29:43.874,493,BaseLine
0:29:43.878,493,BaseLine
0:29:43.882,493,BaseLine
0:29:43.886,493,BaseLine
0:29:43.890,493,BaseLine
0:29:43.894,493,BaseLine
0:29:43.898,494,BaseLine
0:29:43.902,494,BaseLine
0:29:43.906,494,BaseLine
0:29:43.910,494,BaseLine
0:29:43.914,494,BaseLine
0:29:43.918,494,BaseLine
0:29:43.922,494,BaseLine
0:29:43.926,494,BaseLine
0:29:43.930,494,BaseLine
0:29:43.934,494,BaseLine
0:29:43.938,494,BaseLine
0:29:43.942,494,BaseLine
0:29:43.946,494,BaseLine
0:29:43.950,493,BaseLine
0:29:43.954,493,BaseLine
0:29:43.958,493,BaseLine
0:29:43.962,493,BaseLine
0:29:43.966,493,BaseLine
0:29:43.970,493,BaseLine
0:29:43.974,493,BaseLine
0:29:43.978,494,BaseLine
0:29:43.982,494,BaseLine
0:29:43.986,494,BaseLine
0:29:43.990,493,BaseLine
0:29:43.994,492,BaseLine
0:29:43.998,492,BaseLine
0:29:44.002,493,BaseLine
0:29:44.006,496,BaseLine
0:29:44.010,502,BaseLine
0:29:44.014,509,BaseLine
0:29:44.018,515,BaseLine
0:29:44.022,517,BaseLine
0:29:44.026,513,BaseLine
0:29:44.030,505,BaseLine
0:29:44.034,496,BaseLine
0:29:44.038,488,BaseLine
0:29:44.042,483,BaseLine
0:29:44.046,482,BaseLine
0:29:44.050,483,BaseLine
0:29:44.054,485,BaseLine
0:29:44.058,488,BaseLine
0:29:44.062,491,BaseLine
0:29:44.066,494,BaseLine
0:29:44.070,495,BaseLine
0:29:44.074,496,BaseLine
0:29:44.078,496,BaseLine
0:29:44.082,496,BaseLine
0:29:44.086,496,BaseLine
0:29:44.090,496,BaseLine
0:29:44.094,496,BaseLine
0:29:44.098,496,BaseLine
0:29:44.102,496,BaseLine
0:29:44.106,497,BaseLine
0:29:44.110,497,BaseLine
0:29:44.114,497,BaseLine
0:29:44.118,497,BaseLine
0:29:44.122,497,BaseLine
0:29:44.126,498,BaseLine
0:29:44.130,498,BaseLine
0:29:44.134,498,BaseLine
0:29:44.138,498,BaseLine
0:29:44.142,498,BaseLine
0:29:44.146,499,BaseLine
0:29:44.150,499,BaseLine
0:29:44.151,499,BaseLine
0:29:44.155,499,BaseLine
0:29:44.159,499,BaseLine
0:29:44.163,499,BaseLine
0:29:44.167,500,BaseLine
0:29:44.171,500,BaseLine
0:29:44.175,501,BaseLine
0:29:44.179,502,BaseLine
0:29:44.183,502,BaseLine
0:29:44.187,503,BaseLine
0:29:44.191,503,BaseLine
0:29:44.195,504,BaseLine
0:29:44.199,505,BaseLine
0:29:44.203,507,BaseLine
0:29:44.207,508,BaseLine
0:29:44.211,509,BaseLine
0:29:44.215,511,BaseLine
0:29:44.219,512,BaseLine
0:29:44.223,513,BaseLine
0:29:44.227,513,BaseLine
0:29:44.231,514,BaseLine
0:29:44.235,514,BaseLine
0:29:44.239,514,BaseLine
0:29:44.243,514,BaseLine
0:29:44.247,514,BaseLine
0:29:44.251,514,BaseLine
0:29:44.255,513,BaseLine
0:29:44.259,513,BaseLine
0:29:44.263,512,BaseLine
0:29:44.267,511,BaseLine
0:29:44.271,509,BaseLine
0:29:44.275,508,BaseLine
0:29:44.279,506,BaseLine
0:29:44.283,505,BaseLine
0:29:44.287,503,BaseLine
0:29:44.291,502,BaseLine
0:29:44.295,501,BaseLine
0:29:44.299,499,BaseLine
0:29:44.303,498,BaseLine
0:29:44.307,497,BaseLine
0:29:44.311,496,BaseLine
0:29:44.315,495,BaseLine
0:29:44.319,495,BaseLine
0:29:44.323,494,BaseLine
0:29:44.327,494,BaseLine
0:29:44.331,494,BaseLine
0:29:44.335,493,BaseLine
0:29:44.339,493,BaseLine
0:29:44.343,493,BaseLine
0:29:44.347,493,BaseLine
0:29:44.351,493,BaseLine
0:29:44.355,493,BaseLine
0:29:44.359,493,BaseLine
0:29:44.363,493,BaseLine
0:29:44.367,492,BaseLine
0:29:44.371,492,BaseLine
0:29:44.375,492,BaseLine
0:29:44.379,492,BaseLine
0:29:44.383,492,BaseLine
0:29:44.387,492,BaseLine
0:29:44.391,492,BaseLine
0:29:44.395,492,BaseLine
0:29:44.399,492,BaseLine
0:29:44.403,492,BaseLine
0:29:44.407,492,BaseLine
0:29:44.411,492,BaseLine
0:29:44.415,492,BaseLine
0:29:44.419,493,BaseLine
0:29:44.423,493,BaseLine
0:29:44.427,493,BaseLine
0:29:44.431,493,BaseLine
0:29:44.435,493,BaseLine
0:29:44.439,493,BaseLine
0:29:44.443,493,BaseLine
0:29:44.447,493,BaseLine
0:29:44.451,493,BaseLine
0:29:44.455,493,BaseLine
0:29:44.459,493,BaseLine
0:29:44.463,494,BaseLine
0:29:44.467,494,BaseLine
0:29:44.471,493,BaseLine
0:29:44.475,493,BaseLine
0:29:44.479,493,BaseLine
0:29:44.483,493,BaseLine
0:29:44.487,494,BaseLine
0:29:44.491,494,BaseLine
0:29:44.495,494,BaseLine
0:29:44.499,494,BaseLine
0:29:44.503,494,BaseLine
0:29:44.507,494,BaseLine
0:29:44.511,493,BaseLine
0:29:44.515,493,BaseLine
0:29:44.519,493,BaseLine
0:29:44.523,493,BaseLine
0:29:44.527,493,BaseLine
0:29:44.531,493,BaseLine
0:29:44.535,493,BaseLine
0:29:44.539,493,BaseLine
0:29:44.543,493,BaseLine
0:29:44.547,493,BaseLine
0:29:44.551,493,BaseLine
0:29:44.555,493,BaseLine
0:29:44.559,493,BaseLine
0:29:44.563,493,BaseLine
0:29:44.567,493,BaseLine
0:29:44.571,493,BaseLine
0:29:44.575,493,BaseLine
0:29:44.579,494,BaseLine
0:29:44.583,494,BaseLine
0:29:44.587,494,BaseLine
0:29:44.591,494,BaseLine
0:29:44.595,494,BaseLine
0:29:44.599,494,BaseLine
0:29:44.603,494,BaseLine
0:29:44.607,494,BaseLine
0:29:44.611,494,BaseLine
0:29:44.615,494,BaseLine
0:29:44.619,494,BaseLine
0:29:44.623,494,BaseLine
0:29:44.627,494,BaseLine
0:29:44.631,494,BaseLine
0:29:44.635,493,BaseLine
0:29:44.639,493,BaseLine
0:29:44.643,493,BaseLine
0:29:44.647,493,BaseLine
0:29:44.651,493,BaseLine
0:29:44.655,493,BaseLine
0:29:44.659,494,BaseLine
0:29:44.663,493,BaseLine
0:29:44.667,493,BaseLine
0:29:44.671,493,BaseLine
0:29:44.675,493,BaseLine
0:29:44.679,492,BaseLine
0:29:44.683,492,BaseLine
0:29:44.687,493,BaseLine
0:29:44.691,495,BaseLine
0:29:44.695,501,BaseLine
0:29:44.699,509,BaseLine
0:29:44.703,515,BaseLine
0:29:44.707,517,BaseLine
0:29:44.711,513,BaseLine
0:29:44.715,506,BaseLine
0:29:44.719,496,BaseLine
0:29:44.723,488,BaseLine
0:29:44.727,484,BaseLine
0:29:44.731,482,BaseLine
0:29:44.735,483,BaseLine
0:29:44.739,485,BaseLine
0:29:44.743,488,BaseLine
0:29:44.747,491,BaseLine
0:29:44.751,494,BaseLine
0:29:44.755,495,BaseLine
0:29:44.759,496,BaseLine
0:29:44.763,496,BaseLine
0:29:44.767,496,BaseLine
0:29:44.771,496,BaseLine
0:29:44.775,496,BaseLine
0:29:44.779,496,BaseLine
0:29:44.783,496,BaseLine
0:29:44.787,496,BaseLine
0:29:44.791,496,BaseLine
0:29:44.795,496,BaseLine
0:29:44.799,497,BaseLine
0:29:44.803,497,BaseLine
0:29:44.807,497,BaseLine
0:29:44.811,497,BaseLine
0:29:44.815,497,BaseLine
0:29:44.819,498,BaseLine
0:29:44.823,498,BaseLine
0:29:44.827,498,BaseLine
0:29:44.831,498,BaseLine
0:29:44.835,498,BaseLine
0:29:44.839,498,BaseLine
0:29:44.843,498,BaseLine
0:29:44.847,499,BaseLine
0:29:44.851,499,BaseLine
0:29:44.855,500,BaseLine
0:29:44.859,500,BaseLine
0:29:44.863,500,BaseLine
0:29:44.867,501,BaseLine
0:29:44.871,501,BaseLine
0:29:44.875,502,BaseLine
0:29:44.879,503,BaseLine
0:29:44.883,504,BaseLine
0:29:44.887,505,BaseLine
0:29:44.891,506,BaseLine
0:29:44.895,508,BaseLine
0:29:44.899,509,BaseLine
0:29:44.903,510,BaseLine
0:29:44.907,511,BaseLine
0:29:44.911,512,BaseLine
0:29:44.915,513,BaseLine
0:29:44.919,514,BaseLine
0:29:44.923,514,BaseLine
