@relation classType
@attribute rrInterval, NUMERIC 
@attribute classType { Exercise , BaseLine }
@data
10000 ,BaseLine
10000 ,BaseLine
10000 ,BaseLine
10000 ,BaseLine
10000 ,BaseLine
10000 ,BaseLine
10000 ,BaseLine
10000 ,BaseLine
85264 ,BaseLine
85264 ,BaseLine
85264 ,BaseLine
85264 ,BaseLine
85264 ,BaseLine
85264 ,BaseLine
85264 ,BaseLine
85264 ,BaseLine
85264 ,BaseLine
85264 ,BaseLine
85264 ,BaseLine
85264 ,BaseLine
85264 ,BaseLine
85264 ,BaseLine
85264 ,BaseLine
85264 ,BaseLine
85264 ,BaseLine
85264 ,BaseLine
85264 ,BaseLine
85264 ,BaseLine
85264 ,BaseLine
85264 ,BaseLine
85264 ,BaseLine
85264 ,BaseLine
13689 ,BaseLine
13689 ,BaseLine
13689 ,BaseLine
13689 ,BaseLine
13689 ,BaseLine
13689 ,BaseLine
13689 ,BaseLine
13689 ,BaseLine
13689 ,BaseLine
13689 ,BaseLine
13689 ,BaseLine
13689 ,BaseLine
13689 ,BaseLine
13689 ,BaseLine
13689 ,BaseLine
13689 ,BaseLine
13689 ,BaseLine
13689 ,BaseLine
13689 ,BaseLine
13689 ,BaseLine
10000 ,BaseLine
10000 ,BaseLine
10000 ,BaseLine
10000 ,BaseLine
10000 ,BaseLine
10000 ,BaseLine
10000 ,BaseLine
10000 ,BaseLine
136161 ,BaseLine
136161 ,BaseLine
136161 ,BaseLine
136161 ,BaseLine
136161 ,BaseLine
136161 ,BaseLine
136161 ,BaseLine
136161 ,BaseLine
136161 ,BaseLine
136161 ,BaseLine
136161 ,BaseLine
136161 ,BaseLine
126736 ,BaseLine
126736 ,BaseLine
126736 ,BaseLine
126736 ,BaseLine
126736 ,BaseLine
126736 ,BaseLine
126736 ,BaseLine
126736 ,BaseLine
126736 ,BaseLine
126736 ,BaseLine
126736 ,BaseLine
126736 ,BaseLine
126736 ,BaseLine
126736 ,BaseLine
126736 ,BaseLine
126736 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
40401 ,BaseLine
