@relation classType
@attribute rrInterval, NUMERIC 
@attribute classType { Exercise , BaseLine }
@data
0 ,BaseLine
0 ,BaseLine
0 ,BaseLine
0 ,BaseLine
0 ,BaseLine
0 ,BaseLine
0 ,BaseLine
0 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
80 ,BaseLine
32 ,BaseLine
32 ,BaseLine
32 ,BaseLine
32 ,BaseLine
32 ,BaseLine
32 ,BaseLine
32 ,BaseLine
32 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
48 ,BaseLine
64 ,BaseLine
64 ,BaseLine
64 ,BaseLine
64 ,BaseLine
64 ,BaseLine
64 ,BaseLine
64 ,BaseLine
64 ,BaseLine
64 ,BaseLine
64 ,BaseLine
64 ,BaseLine
64 ,BaseLine
64 ,BaseLine
64 ,BaseLine
64 ,BaseLine
64 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
292 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
96 ,BaseLine
117 ,BaseLine
117 ,BaseLine
117 ,BaseLine
117 ,BaseLine
117 ,BaseLine
117 ,BaseLine
117 ,BaseLine
117 ,BaseLine
117 ,BaseLine
117 ,BaseLine
117 ,BaseLine
117 ,BaseLine
117 ,BaseLine
117 ,BaseLine
117 ,BaseLine
117 ,BaseLine
117 ,BaseLine
117 ,BaseLine
117 ,BaseLine
117 ,BaseLine
117 ,BaseLine
117 ,BaseLine
117 ,BaseLine
117 ,BaseLine
117 ,BaseLine
117 ,BaseLine
117 ,BaseLine
117 ,BaseLine
117 ,BaseLine
117 ,BaseLine
117 ,BaseLine
117 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
8 ,BaseLine
8 ,BaseLine
8 ,BaseLine
8 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
12 ,BaseLine
12 ,BaseLine
12 ,BaseLine
12 ,BaseLine
12 ,BaseLine
12 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
4 ,BaseLine
8 ,BaseLine
